Date,Treatment,Plant,Flight_Time,Butterfly_num,Sex,Age,pre_flight_weight,post_flight_weight,weight_diffs,mlHrCO2_avg,mlHrCO2_peak,rmr_mlHrCO2,norm_CO2_avg,norm_CO2_peak,norm_rmr
9/13/2021,Fall,CUR,11:02,FC16,M,9,0.4656,0.46,0.0056,5.650633931,8.479633331,0.366739293,12.13624126,18.2122709,0.787670303
9/13/2021,Fall,CUR,12:15,FC13,F,9,0.4861,0.4778,0.0083,7.904033156,10.00999069,0.373074868,16.26009701,20.59245154,0.767485843
9/13/2021,Fall,CUR,13:03,FC17,F,9,0.4019,0.3932,0.0087,9.010436449,10.95029259,0.307361253,22.41959803,27.24631149,0.764770472
9/13/2021,Fall,SYR,15:02,FS24,F,10,0.5734,0.5553,0.0181,11.52018347,14.30454159,1.528592572,20.0910071,24.94688104,2.665839853
9/13/2021,Fall,SYR,16:05,FS13,M,10,0.4406,0.4376,0.003,7.265760468,9.884537697,0.302784868,16.49060479,22.43426622,0.687210322
9/13/2021,Fall,CUR,16:50,FC12,F,9,0.4076,0.4034,0.0042,5.854357976,8.080305099,0.335424434,14.36299798,19.82410476,0.8229255
9/14/2021,Fall,SYR,10:45,FS38,F,8,0.5586,0.5419,0.0167,7.495669931,9.066818237,1.375561821,13.41867156,16.23132517,2.462516686
9/14/2021,Fall,CUR,14:00,FC24,M,8,0.3907,0.3888,0.0019,5.238954369,8.594390869,0.333263065,13.40914863,21.99741712,0.852989673
9/14/2021,Fall,CUR,16:40,FC25,F,8,0.4117,0.4083,0.0034,10.3246874,12.36214733,0.363765638,25.07818169,30.02707635,0.883569682
9/16/2021,Summer,CUR,14:53,SC35,F,8,0.5262,0.5208,0.0054,14.03955644,19.26382065,0.426609703,26.68102706,36.60931328,0.810736797
9/16/2021,Summer,CUR,14:05,SC42,F,8,0.4306,0.4242,0.0064,9.4128474,11.89968681,0.356546688,21.85984069,27.63512962,0.828022964
9/17/2021,Summer,SYR,12:15,SS50,M,9,0.285,0.2789,0.0061,9.110341952,11.23736477,0.339099891,31.96611211,39.42935007,1.189824177
9/17/2021,Summer,SYR,13:10,SS44,F,9,0.3814,0.373,0.0084,6.77229375,8.901599884,0.359426465,17.75640732,23.33927605,0.942387165
9/17/2021,Summer,SYR,13:55,SS47,F,9,0.6117,0.5903,0.0214,6.928914265,11.89202404,0.550112259,11.32730794,19.4409417,0.899317083
9/18/2021,Summer,CUR,13:20,SC45,M,8,0.6171,0.6034,0.0137,5.087690844,7.629470825,0.747858945,8.244516034,12.36342704,1.211892635
9/18/2021,Summer,SYR,14:30,SS51,M,8,0.5713,0.5574,0.0139,17.10879522,21.58704758,0.528975931,29.94712973,37.78583507,0.92591621
9/18/2021,Summer,SYR,15:20,SS53,F,9,0.4332,0.4292,0.004,9.217575607,12.90009212,0.252733575,21.27787536,29.77860601,0.583410838
9/18/2021,Summer,SYR,16:05,SS39,F,10,0.3288,0.3236,0.0052,7.015465769,10.08097553,0.25048324,21.33657472,30.65990125,0.761810341
9/20/2021,Fall,CUR,14:50,FC30,M,9,0.6272,0.6125,0.0147,10.16602705,11.90487957,0.3079717,16.20858905,18.98099421,0.491026308
9/18/2021,Fall,CUR,12:30,FC26,F,10,0.4353,0.4259,0.0094,7.461101119,9.744598389,0.544815361,17.14013581,22.38593703,1.251585942
